epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,1142.69,0.47881,0.33752,0.82694,0.92159,0.84707,0.94225,0.81766,0.51047,0.34063,0.85723,7.2703e-05,7.2703e-05,7.2703e-05
92,1153.2,0.46118,0.32578,0.82105,0.87512,0.89358,0.94074,0.81572,0.51057,0.34337,0.85866,6.60997e-05,6.60997e-05,6.60997e-05
93,1163.81,0.45801,0.32728,0.82472,0.89059,0.88509,0.942,0.81983,0.50438,0.33763,0.85697,5.94964e-05,5.94964e-05,5.94964e-05
94,1174.28,0.44676,0.31829,0.81772,0.89013,0.8838,0.9415,0.81906,0.50328,0.33595,0.85766,5.28931e-05,5.28931e-05,5.28931e-05
95,1184.8,0.44925,0.32081,0.81758,0.9204,0.85056,0.94177,0.82109,0.49794,0.33589,0.85626,4.62898e-05,4.62898e-05,4.62898e-05
96,1195.49,0.44203,0.32032,0.81371,0.91872,0.85259,0.94014,0.81987,0.49604,0.33877,0.85598,3.96865e-05,3.96865e-05,3.96865e-05
97,1205.94,0.44005,0.31634,0.81547,0.88484,0.88785,0.94019,0.81994,0.49918,0.33676,0.85754,3.30832e-05,3.30832e-05,3.30832e-05
98,1216.26,0.4346,0.31247,0.81383,0.90866,0.86184,0.94115,0.82109,0.49433,0.33422,0.85685,2.64799e-05,2.64799e-05,2.64799e-05
99,1227.03,0.42688,0.30738,0.81092,0.90834,0.86522,0.94248,0.82189,0.4921,0.33275,0.85612,1.98766e-05,1.98766e-05,1.98766e-05
100,1237.47,0.41976,0.3038,0.81241,0.88656,0.88608,0.94195,0.82127,0.49308,0.33455,0.85532,1.32733e-05,1.32733e-05,1.32733e-05
