Cod Unidade;Código da Unidade de Ensino - SISTEC;Classe;Código Municipio com DV;Instituição;Jornada de Trabalho;Município;Número de registros;Região;RSC;Titulação;Unidade de Lotação;Vinculo Carreira;Vinculo Contrato;Vinculo Professor
100;2996;D;3105103;IFMG;DE;Bambu;1;;Não Possui;Doutorado;Campus Bambuí;Ebtt;Efetivo;Sim
345;13447;C;5006200;IFMS;40h;Nova Andradina;1;;Não Possui;Especialização;Campus Nova Andradina;Pcctae;Efetivo;Não
195;13893;D;5003306;IFMS;DE;Coxim;1;;RSC III;Mestrado;Campus Coxim;Ebtt;Efetivo;Sim
16;32043;D;1500800;IFPA;DE;Ananindeua;1;;Não Possui;Doutorado;Campus Ananindeua;Ebtt;Efetivo;Sim
319;2919;D;1504208;IFPA;DE;Marab;1;;RSC III;Mestrado;Campus Marabá Industrial;Ebtt;Efetivo;Sim
508;13891;D;5008305;IFMS;DE;Trs Lagoas;1;;RSC III;Mestrado;Campus Três Lagoas;Ebtt;Efetivo;Sim
101;2957;D;3105608;IF SUDESTE MG;DE;Barbacena;1;;Não Possui;Doutorado;Campus Barbacena;Ebtt;Efetivo;Sim
293;2809;D;2507507;IFPB;40h;Joo Pessoa;1;;Não Possui;Especialização;Campus João Pessoa;Pcctae;Efetivo;Não
129;3562;D;2503209;IFPB;40h;Cabedelo;1;;Não Possui;Graduação;Campus Cabedelo;Pcctae;Efetivo;Não
491;2810;D;2516201;IFPB;40h;Sousa;1;;Não Possui;Especialização;Campus Sousa;Pcctae;Efetivo;Não
113;2914;D;1501402;IFPA;DE;Belm;1;;Não Possui;Doutorado;Campus Belém;Ebtt;Efetivo;Sim
141;2813;D;2504009;IFPB;40h;Campina Grande;1;;Não Possui;Especialização;Campus Campina Grande;Pcctae;Efetivo;Não
141;2813;D;2504009;IFPB;40h;Campina Grande;1;;Não Possui;Graduação;Campus Campina Grande;Pcctae;Efetivo;Não
141;2813;D;2504009;IFPB;40h;Campina Grande;1;;Não Possui;Mestrado;Campus Campina Grande;Pcctae;Efetivo;Não
386;3567;D;2511400;IFPB;40h;Picu;1;;Não Possui;Graduação;Campus Picuí;Pcctae;Efetivo;Não
371;3584;D;2510808;IFPB;40h;Patos;1;;Não Possui;Especialização;Campus Patos;Pcctae;Efetivo;Não
68;20432;D;3145901;IFMG;DE;Ouro Branco;1;;RSC III;Mestrado;Campus Ouro Branco;Ebtt;Efetivo;Sim
143;12485;D;5002704;IFMS;40h;Campo Grande;1;;Não Possui;Especialização;Campus Campo Grande;Pcctae;Efetivo;Não
